時刻,行先,備考
6:32,センター北駅,
7:12,センター北駅,
7:42,センター北駅,
8:18,センター北駅,
8:42,センター北駅,
9:04,センター北駅,
9:31,センター南駅,
9:44,センター南駅,
9:57,センター南駅,
10:10,センター南駅,
10:23,センター南駅,
10:36,センター南駅,
10:49,センター南駅,
11:02,センター南駅,
11:15,センター南駅,
11:28,センター南駅,
11:39,センター南駅,
11:54,センター南駅,
12:07,センター南駅,
12:19,センター南駅,
12:32,センター南駅,
12:45,センター南駅,
12:58,センター南駅,
13:11,センター南駅,
13:24,センター南駅,
13:37,センター南駅,
13:50,センター南駅,
14:04,センター南駅,
14:17,センター南駅,
14:27,センター南駅,
14:42,センター南駅,
14:52,センター南駅,
15:07,センター南駅,
15:23,センター南駅,
15:33,センター南駅,
15:48,センター南駅,
15:58,センター南駅,
16:09,センター南駅,
16:27,センター南駅,
16:47,センター南駅,
16:57,センター南駅,
17:17,センター南駅,
17:27,センター南駅,
17:44,センター南駅,
18:02,センター南駅,
18:31,センター北駅,
18:59,センター北駅,
19:21,センター北駅,
19:33,センター北駅,
19:56,センター北駅,
20:41,センター北駅,
21:11,センター北駅,
21:53,センター北駅,
