時刻,行先,備考
6:24,センター北駅,
7:18,センター北駅,
8:00,センター北駅,
8:28,センター北駅,
8:54,センター北駅,
9:17,センター北駅,
9:31,センター南駅,
9:44,センター南駅,
9:56,センター南駅,
10:08,センター南駅,
10:20,センター南駅,
10:35,センター南駅,
10:48,センター南駅,
11:01,センター南駅,
11:15,センター南駅,
11:26,センター南駅,
11:40,センター南駅,
11:53,センター南駅,
12:06,センター南駅,
12:18,センター南駅,
12:29,センター南駅,
12:44,センター南駅,
12:56,センター南駅,
13:10,センター南駅,
13:23,センター南駅,
13:35,センター南駅,
13:48,センター南駅,
14:00,センター南駅,
14:15,センター南駅,
14:27,センター南駅,
14:38,センター南駅,
14:52,センター南駅,
15:07,センター南駅,
15:18,センター南駅,
15:33,センター南駅,
15:47,センター南駅,
15:55,センター南駅,
16:11,センター南駅,
16:22,センター南駅,
16:39,センター南駅,
16:49,センター南駅,
17:06,センター南駅,
17:16,センター南駅,
17:35,センター南駅,
17:43,センター南駅,
18:02,センター南駅,
18:31,センター北駅,
19:01,センター北駅,
19:21,センター北駅,
19:33,センター北駅,
19:56,センター北駅,
20:41,センター北駅,
21:11,センター北駅,
21:53,センター北駅,
