時刻,行先,備考
6:21,センター北駅,
6:38,センター北駅,
6:59,センター北駅,
7:11,センター北駅,
7:25,センター北駅,
7:37,センター北駅,
7:49,センター北駅,
8:00,センター北駅,
8:12,センター北駅,
8:24,センター北駅,
8:36,センター北駅,
8:46,センター北駅,
8:56,センター北駅,
9:07,センター北駅,
9:23,センター南駅,
9:29,センター北駅,
9:40,センター南駅,
9:53,センター南駅,
10:08,センター南駅,
10:23,センター南駅,
10:36,センター南駅,
10:44,センター南駅,
11:05,センター南駅,
11:15,センター南駅,
11:29,センター南駅,
11:49,センター南駅,
11:57,センター南駅,
12:13,センター南駅,
12:28,センター南駅,
12:44,センター南駅,
12:54,センター南駅,
13:08,センター南駅,
13:22,センター南駅,
13:38,センター南駅,
13:51,センター南駅,
14:00,センター南駅,
14:15,センター南駅,
14:30,センター南駅,
14:44,センター南駅,
15:01,センター南駅,
15:15,センター南駅,
15:28,センター南駅,
15:44,センター南駅,
16:02,センター南駅,
16:18,センター南駅,
16:26,センター南駅,
16:40,センター南駅,
16:54,センター南駅,
17:09,センター南駅,
17:21,センター南駅,
17:35,センター南駅,
17:49,センター南駅,
18:11,センター南駅,
18:28,センター南駅,
18:42,センター北駅,
18:56,センター北駅,
19:16,センター北駅,
19:30,センター北駅,
19:54,センター北駅,
20:19,センター北駅,
20:34,センター北駅,
20:50,センター北駅,
21:06,センター北駅,
21:21,センター北駅,
21:44,センター北駅,
22:11,センター北駅,
