時刻,種別,行先
05:00,各停,海老名
05:13,各停,新横浜
05:21,各停,海老名
05:28,各停,新横浜
05:39,各停,日吉（神奈川県）
05:42,各停,海老名
05:50,急行,新横浜
05:55,各停,武蔵小杉
06:02,各停,新横浜
06:09,各停,日吉（神奈川県）
06:16,各停,新横浜
06:21,各停,西谷
06:26,各停,日吉（神奈川県）
06:34,急行,海老名
06:37,各停,新横浜
06:42,各停,日吉（神奈川県）
06:48,各停,新横浜
06:56,各停,日吉（神奈川県）
07:02,各停,新横浜
07:08,各停,日吉（神奈川県）
07:15,各停,海老名
07:21,各停,新横浜
07:27,各停,日吉（神奈川県）
07:31,各停,西谷
07:35,急行,日吉（神奈川県）
07:39,各停,湘南台
07:43,各停,日吉（神奈川県）
07:49,各停,新横浜
07:54,各停,西谷
08:00,各停,新横浜
08:05,各停,日吉（神奈川県）
08:09,急行,湘南台
08:12,各停,新横浜
08:18,各停,海老名
08:23,急行,日吉（神奈川県）
08:26,各停,新横浜
08:33,各停,日吉（神奈川県）
08:38,急行,西谷
08:41,各停,新横浜
08:48,各停,武蔵小杉
08:53,急行,湘南台
08:56,各停,新横浜
09:03,各停,日吉（神奈川県）
09:08,急行,海老名
09:11,各停,日吉（神奈川県）
09:19,各停,日吉（神奈川県）
09:23,急行,西谷
09:27,各停,日吉（神奈川県）
09:34,各停,日吉（神奈川県）
09:38,急行,海老名
09:42,各停,新横浜
09:49,各停,日吉（神奈川県）
09:53,急行,大和
09:57,各停,日吉（神奈川県）
10:04,各停,日吉（神奈川県）
10:08,急行,海老名
10:12,各停,新横浜
10:19,各停,日吉（神奈川県）
10:23,急行,新横浜
10:27,各停,日吉（神奈川県）
10:34,各停,日吉（神奈川県）
10:39,急行,海老名
10:43,各停,新横浜
10:49,各停,日吉（神奈川県）
10:53,急行,新横浜
10:57,各停,日吉（神奈川県）
11:04,各停,日吉（神奈川県）
11:08,急行,海老名
11:12,各停,新横浜
11:19,各停,日吉（神奈川県）
11:23,急行,新横浜
11:27,各停,日吉（神奈川県）
11:34,各停,日吉（神奈川県）
11:38,急行,海老名
11:42,各停,新横浜
11:49,各停,日吉（神奈川県）
11:53,急行,新横浜
11:57,各停,日吉（神奈川県）
12:04,各停,日吉（神奈川県）
12:08,急行,海老名
12:12,各停,新横浜
12:19,各停,日吉（神奈川県）
12:23,急行,新横浜
12:27,各停,日吉（神奈川県）
12:34,各停,日吉（神奈川県）
12:38,急行,海老名
12:42,各停,新横浜
12:49,各停,日吉（神奈川県）
12:53,急行,新横浜
12:57,各停,日吉（神奈川県）
13:04,各停,日吉（神奈川県）
13:08,急行,海老名
13:12,各停,新横浜
13:19,各停,日吉（神奈川県）
13:23,急行,新横浜
13:27,各停,日吉（神奈川県）
13:34,各停,日吉（神奈川県）
13:38,急行,海老名
13:42,各停,新横浜
13:49,各停,日吉（神奈川県）
13:53,急行,新横浜
13:57,各停,日吉（神奈川県）
14:04,各停,日吉（神奈川県）
14:08,急行,海老名
14:12,各停,新横浜
14:19,各停,日吉（神奈川県）
14:23,急行,新横浜
14:27,各停,日吉（神奈川県）
14:34,各停,日吉（神奈川県）
14:38,急行,海老名
14:42,各停,新横浜
14:49,各停,日吉（神奈川県）
14:53,急行,新横浜
14:57,各停,日吉（神奈川県）
15:04,各停,日吉（神奈川県）
15:08,急行,海老名
15:12,各停,新横浜
15:19,各停,日吉（神奈川県）
15:23,急行,新横浜
15:27,各停,日吉（神奈川県）
15:34,各停,日吉（神奈川県）
15:38,急行,海老名
15:42,各停,新横浜
15:49,各停,日吉（神奈川県）
15:53,急行,新横浜
15:57,各停,日吉（神奈川県）
16:04,各停,日吉（神奈川県）
16:08,急行,海老名
16:12,各停,新横浜
16:19,各停,日吉（神奈川県）
16:23,急行,新横浜
16:27,各停,日吉（神奈川県）
16:34,各停,日吉（神奈川県）
16:38,急行,湘南台
16:42,各停,新横浜
16:49,各停,日吉（神奈川県）
16:53,急行,海老名
16:57,各停,新横浜
