時刻,種別,行先
05:03,各停,浦和美園
05:12,各停,西高島平
05:19,各停,目黒
05:24,各停,浦和美園
05:33,各停,浦和美園
05:37,各停,西高島平
05:46,各停,西高島平
05:51,各停,目黒
05:56,各停,浦和美園
06:07,各停,浦和美園
06:16,各停,西高島平
06:24,各停,西高島平
06:31,各停,浦和美園
06:40,各停,西高島平
06:46,各停,浦和美園
06:54,各停,浦和美園
07:01,各停,西高島平
07:07,各停,西高島平
07:13,各停,西高島平
07:19,各停,鳩ヶ谷
07:28,各停,鳩ヶ谷
07:33,急行,西高島平
07:36,各停,浦和美園
07:40,各停,西高島平
07:44,各停,浦和美園
07:49,各停,西高島平
07:54,各停,浦和美園
07:59,各停,浦和美園
08:05,各停,西高島平
08:10,急行,浦和美園
08:15,各停,赤羽岩淵
08:20,各停,西高島平
08:25,急行,西高島平
08:30,各停,赤羽岩淵
08:35,各停,浦和美園
08:39,急行,高島平
08:43,各停,西高島平
08:48,各停,浦和美園
08:53,各停,赤羽岩淵
08:57,急行,西高島平
09:01,各停,浦和美園
09:07,各停,西高島平
09:11,急行,浦和美園
09:16,各停,西高島平
09:22,各停,赤羽岩淵
09:26,急行,西高島平
09:31,各停,浦和美園
09:37,各停,西高島平
09:41,急行,赤羽岩淵
09:46,各停,西高島平
09:52,各停,浦和美園
09:56,急行,西高島平
10:01,各停,赤羽岩淵
10:07,各停,西高島平
10:11,急行,浦和美園
10:16,各停,西高島平
10:22,各停,赤羽岩淵
10:26,急行,西高島平
10:31,各停,浦和美園
10:37,各停,西高島平
10:41,急行,赤羽岩淵
10:46,各停,西高島平
10:52,各停,浦和美園
10:57,急行,西高島平
11:01,各停,赤羽岩淵
11:07,各停,西高島平
11:12,急行,浦和美園
11:16,各停,西高島平
11:22,各停,赤羽岩淵
11:27,急行,西高島平
11:31,各停,浦和美園
11:37,各停,西高島平
11:42,急行,赤羽岩淵
11:46,各停,西高島平
11:52,各停,浦和美園
11:57,急行,西高島平
12:01,各停,赤羽岩淵
12:07,各停,西高島平
12:12,急行,浦和美園
12:16,各停,西高島平
12:22,各停,赤羽岩淵
12:27,急行,西高島平
12:31,各停,浦和美園
12:37,各停,西高島平
12:42,急行,赤羽岩淵
12:46,各停,西高島平
12:52,各停,浦和美園
12:57,急行,西高島平
13:01,各停,赤羽岩淵
13:07,各停,西高島平
13:12,急行,浦和美園
13:16,各停,西高島平
13:22,各停,赤羽岩淵
13:27,急行,西高島平
13:31,各停,浦和美園
13:37,各停,西高島平
13:42,急行,赤羽岩淵
13:46,各停,西高島平
13:52,各停,浦和美園
13:57,急行,西高島平
14:01,各停,赤羽岩淵
14:07,各停,西高島平
14:12,急行,浦和美園
14:16,各停,西高島平
14:22,各停,赤羽岩淵
14:27,急行,西高島平
14:31,各停,浦和美園
14:37,各停,西高島平
14:42,急行,赤羽岩淵
14:46,各停,西高島平
14:52,各停,浦和美園
14:57,急行,西高島平
15:01,各停,赤羽岩淵
15:07,各停,西高島平
15:12,急行,浦和美園
15:16,各停,西高島平
15:22,各停,赤羽岩淵
15:27,急行,西高島平
15:31,各停,浦和美園
15:37,各停,西高島平
15:42,急行,赤羽岩淵
15:46,各停,西高島平
15:52,各停,浦和美園
15:57,急行,西高島平
16:01,各停,赤羽岩淵
16:07,各停,西高島平
16:12,急行,浦和美園
16:16,各停,西高島平
16:22,各停,赤羽岩淵
16:27,急行,西高島平
16:31,各停,浦和美園
16:37,各停,西高島平
16:42,急行,赤羽岩淵
16:46,各停,西高島平
16:52,各停,浦和美園
16:57,急行,西高島平
17:01,各停,赤羽岩淵
17:07,各停,西高島平
17:12,急行,浦和美園
17:16,各停,西高島平
17:22,各停,赤羽岩淵
17:27,急行,西高島平
17:31,各停,浦和美園
17:37,各停,西高島平
17:42,急行,赤羽岩淵
17:46,各停,西高島平
17:52,各停,浦和美園
17:57,急行,高島平
18:01,各停,赤羽岩淵
18:07,各停,西高島平
18:12,急行,浦和美園
18:16,各停,西高島平
18:22,各停,赤羽岩淵
18:27,急行,西高島平
18:31,各停,浦和美園
18:37,各停,西高島平
18:42,急行,浦和美園
18:46,各停,西高島平
18:52,各停,浦和美園
18:57,急行,西高島平
19:01,各停,西高島平
19:07,各停,浦和美園
19:13,各停,浦和美園
19:18,各停,西高島平
19:22,急行,西高島平
19:29,各停,赤羽岩淵
19:34,各停,西高島平
19:40,各停,浦和美園
19:47,各停,浦和美園
19:52,急行,西高島平
19:59,各停,赤羽岩淵
20:05,各停,西高島平
20:10,各停,赤羽岩淵
20:15,各停,浦和美園
20:19,急行,西高島平
20:25,各停,西高島平
20:32,各停,浦和美園
20:36,各停,西高島平
20:41,各停,浦和美園
20:46,各停,西高島平
20:52,各停,赤羽岩淵
20:55,急行,西高島平
21:02,各停,浦和美園
21:07,各停,西高島平
21:11,各停,浦和美園
21:16,各停,西高島平
21:23,各停,赤羽岩淵
21:27,急行,西高島平
21:33,各停,浦和美園
21:39,各停,西高島平
21:46,各停,西高島平
21:50,各停,西高島平
21:54,急行,浦和美園
21:59,各停,西高島平
22:05,各停,赤羽岩淵
22:11,各停,西高島平
22:17,各停,浦和美園
22:23,各停,西高島平
22:31,各停,西高島平
22:40,各停,浦和美園
22:50,各停,西高島平
23:00,各停,目黒
23:05,急行,西高島平
23:10,各停,赤羽岩淵
23:19,各停,浦和美園
23:30,各停,高島平
23:39,各停,高島平
23:46,各停,駒込
23:58,各停,目黒
00:11,各停,目黒
00:24,各停,目黒
00:38,各停,奥沢
