時刻,種別,行先
05:00,各停,湘南台
05:13,各停,新横浜
05:21,各停,湘南台
05:28,各停,新横浜
05:39,各停,日吉（神奈川県）
05:42,各停,日吉（神奈川県）
05:50,急行,新横浜
05:55,各停,海老名
06:02,各停,日吉（神奈川県）
06:07,各停,新横浜
06:11,各停,日吉（神奈川県）
06:18,各停,新横浜
06:24,各停,海老名
06:28,各停,日吉（神奈川県）
06:33,急行,湘南台
06:37,各停,新横浜
06:40,各停,日吉（神奈川県）
06:46,各停,新横浜
06:48,各停,湘南台
06:51,各停,日吉（神奈川県）
06:54,各停,日吉（神奈川県）
06:59,各停,新横浜
07:02,各停,日吉（神奈川県）
07:05,急行,海老名
07:08,各停,日吉（神奈川県）
07:11,各停,新横浜
07:15,各停,日吉（神奈川県）
07:18,各停,日吉（神奈川県）
07:21,各停,新横浜
07:23,急行,海老名
07:26,各停,日吉（神奈川県）
07:29,各停,日吉（神奈川県）
07:31,各停,湘南台
07:34,各停,新横浜
07:38,各停,武蔵小杉
07:41,各停,日吉（神奈川県）
07:43,各停,新横浜
07:46,各停,日吉（神奈川県）
07:49,急行,大和
07:52,各停,日吉（神奈川県）
07:55,急行,武蔵小杉
07:58,各停,新横浜
08:01,各停,日吉（神奈川県）
08:04,各停,海老名
08:07,各停,日吉（神奈川県）
08:11,急行,日吉（神奈川県）
08:14,各停,湘南台
08:16,急行,武蔵小杉
08:20,各停,日吉（神奈川県）
08:22,急行,新横浜
08:25,各停,日吉（神奈川県）
08:28,急行,日吉（神奈川県）
08:31,各停,日吉（神奈川県）
08:34,各停,武蔵小杉
08:36,急行,新横浜
08:39,各停,武蔵小杉
08:41,各停,日吉（神奈川県）
08:43,各停,日吉（神奈川県）
08:46,各停,武蔵小杉
08:48,各停,新横浜
08:51,各停,武蔵小杉
08:53,急行,海老名
08:57,各停,日吉（神奈川県）
08:59,各停,新横浜
09:01,急行,西谷
09:04,各停,武蔵小杉
09:07,各停,日吉（神奈川県）
09:09,各停,新横浜
09:12,急行,海老名
09:15,各停,日吉（神奈川県）
09:18,各停,武蔵小杉
09:21,急行,日吉（神奈川県）
09:24,各停,日吉（神奈川県）
09:27,各停,武蔵小杉
09:29,各停,武蔵小杉
09:32,各停,日吉（神奈川県）
09:35,各停,武蔵小杉
09:38,急行,海老名
09:41,各停,日吉（神奈川県）
09:45,各停,武蔵小杉
09:48,各停,新横浜
09:51,各停,武蔵小杉
09:54,各停,日吉（神奈川県）
09:59,各停,新横浜
10:03,各停,大和
10:10,急行,海老名
10:13,各停,日吉（神奈川県）
10:19,各停,武蔵小杉
10:25,急行,西谷
10:29,各停,武蔵小杉
10:35,各停,日吉（神奈川県）
10:39,急行,海老名
10:42,各停,武蔵小杉
10:49,各停,日吉（神奈川県）
10:53,急行,新横浜
10:57,各停,日吉（神奈川県）
11:04,各停,武蔵小杉
11:08,急行,海老名
11:12,各停,新横浜
11:19,各停,日吉（神奈川県）
11:23,急行,新横浜
11:27,各停,日吉（神奈川県）
11:34,各停,日吉（神奈川県）
11:38,急行,海老名
11:42,各停,新横浜
11:49,各停,日吉（神奈川県）
11:53,急行,新横浜
11:57,各停,日吉（神奈川県）
12:04,各停,日吉（神奈川県）
12:08,急行,海老名
12:12,各停,新横浜
12:19,各停,日吉（神奈川県）
12:23,急行,新横浜
12:27,各停,日吉（神奈川県）
12:34,各停,日吉（神奈川県）
12:38,急行,海老名
12:42,各停,新横浜
12:49,各停,日吉（神奈川県）
12:53,急行,新横浜
12:57,各停,日吉（神奈川県）
13:04,各停,日吉（神奈川県）
13:08,急行,海老名
13:12,各停,新横浜
13:19,各停,日吉（神奈川県）
13:23,急行,新横浜
13:27,各停,日吉（神奈川県）
13:34,各停,日吉（神奈川県）
13:38,急行,海老名
13:42,各停,新横浜
13:49,各停,日吉（神奈川県）
13:53,急行,新横浜
13:57,各停,日吉（神奈川県）
14:04,各停,日吉（神奈川県）
14:08,急行,海老名
14:12,各停,新横浜
14:19,各停,日吉（神奈川県）
14:23,急行,新横浜
14:27,各停,日吉（神奈川県）
14:34,各停,日吉（神奈川県）
14:38,急行,海老名
14:42,各停,新横浜
14:49,各停,日吉（神奈川県）
14:53,急行,新横浜
14:57,各停,日吉（神奈川県）
15:04,各停,日吉（神奈川県）
15:08,急行,海老名
15:12,各停,新横浜
15:19,各停,日吉（神奈川県）
15:23,急行,新横浜
15:27,各停,日吉（神奈川県）
15:34,各停,日吉（神奈川県）
15:38,急行,海老名
15:42,各停,新横浜
15:49,各停,日吉（神奈川県）
15:53,急行,新横浜
15:57,各停,日吉（神奈川県）
16:04,各停,日吉（神奈川県）
16:08,急行,海老名
16:12,各停,新横浜
16:19,各停,日吉（神奈川県）
16:23,急行,新横浜
16:27,各停,日吉（神奈川県）
16:34,各停,日吉（神奈川県）
16:38,急行,海老名
16:42,各停,新横浜
16:49,各停,日吉（神奈川県）
16:53,急行,湘南台
16:57,各停,日吉（神奈川県）
17:04,各停,日吉（神奈川県）
17:09,急行,海老名
17:12,各停,日吉（神奈川県）
17:19,各停,武蔵小杉
17:24,急行,新横浜
17:28,各停,海老名
17:33,各停,日吉（神奈川県）
17:38,各停,日吉（神奈川県）
17:42,急行,海老名
17:45,各停,日吉（神奈川県）
17:50,各停,日吉（神奈川県）
17:55,各停,日吉（神奈川県）
17:59,急行,海老名
18:02,各停,新横浜
18:08,各停,武蔵小杉
18:12,各停,日吉（神奈川県）
18:16,急行,海老名
18:19,各停,日吉（神奈川県）
18:23,各停,新横浜
