時刻,種別,行先
05:03,各停,浦和美園
05:12,各停,西高島平
05:19,各停,目黒
05:24,各停,浦和美園
05:33,各停,浦和美園
05:37,各停,西高島平
05:46,各停,浦和美園
05:50,各停,西高島平
05:56,各停,浦和美園
06:05,各停,浦和美園
06:09,急行,西高島平
06:15,各停,西高島平
06:19,急行,浦和美園
06:24,各停,浦和美園
06:31,各停,西高島平
06:35,各停,浦和美園
06:41,各停,西高島平
06:45,各停,西高島平
06:47,急行,浦和美園
06:52,各停,浦和美園
06:55,各停,浦和美園
06:58,各停,鳩ヶ谷
07:01,各停,西高島平
07:03,急行,西高島平
07:07,各停,西高島平
07:10,急行,浦和美園
07:13,各停,浦和美園
07:17,各停,鳩ヶ谷
07:20,各停,西高島平
07:22,急行,西高島平
07:27,各停,西高島平
07:30,急行,浦和美園
07:33,各停,西高島平
07:35,急行,鳩ヶ谷
07:38,各停,鳩ヶ谷
07:40,急行,浦和美園
07:43,各停,浦和美園
07:45,急行,西高島平
07:48,各停,西高島平
07:50,急行,鳩ヶ谷
07:53,各停,西高島平
07:55,急行,浦和美園
07:58,各停,鳩ヶ谷
08:00,急行,高島平
08:03,各停,王子神谷
08:05,急行,西高島平
08:08,各停,高島平
08:10,急行,浦和美園
08:13,各停,高島平
08:15,急行,鳩ヶ谷
08:18,各停,浦和美園
08:20,急行,西高島平
08:23,各停,鳩ヶ谷
08:25,急行,高島平
08:28,各停,西高島平
08:30,急行,浦和美園
08:33,各停,浦和美園
08:35,急行,高島平
08:39,各停,鳩ヶ谷
08:41,急行,西高島平
08:45,各停,西高島平
08:49,各停,西高島平
08:52,急行,浦和美園
08:56,各停,高島平
08:59,各停,高島平
09:02,急行,鳩ヶ谷
09:05,各停,鳩ヶ谷
09:09,各停,西高島平
09:12,各停,西高島平
09:15,急行,浦和美園
09:19,各停,高島平
09:23,各停,浦和美園
09:26,急行,西高島平
09:30,各停,高島平
09:35,各停,浦和美園
09:39,急行,西高島平
09:42,各停,西高島平
09:49,各停,西高島平
09:53,急行,西高島平
09:57,各停,浦和美園
10:03,各停,西高島平
10:07,各停,西高島平
10:12,急行,浦和美園
10:16,各停,西高島平
10:22,各停,赤羽岩淵
10:27,急行,西高島平
10:31,各停,西高島平
10:37,各停,西高島平
10:42,急行,赤羽岩淵
10:46,各停,西高島平
10:52,各停,浦和美園
10:57,急行,西高島平
11:01,各停,赤羽岩淵
11:07,各停,西高島平
11:12,急行,浦和美園
11:16,各停,西高島平
11:22,各停,赤羽岩淵
11:27,急行,西高島平
11:31,各停,浦和美園
11:37,各停,西高島平
11:42,急行,赤羽岩淵
11:46,各停,西高島平
11:52,各停,浦和美園
11:57,急行,西高島平
12:01,各停,赤羽岩淵
12:07,各停,西高島平
12:12,急行,浦和美園
12:16,各停,西高島平
12:22,各停,赤羽岩淵
12:27,急行,西高島平
12:31,各停,浦和美園
12:37,各停,西高島平
12:42,急行,赤羽岩淵
12:46,各停,西高島平
12:52,各停,浦和美園
12:57,急行,西高島平
