時刻,種別,行先,二子新地・高津
5:03,各停①,大井町,各停（二子新地・高津通過）
5:17,各停②,大井町,各停（二子新地・高津停車）
5:28,各停②,大井町,各停（二子新地・高津停車）
5:41,各停①,大井町,各停（二子新地・高津通過）
5:48,各停①,大井町,各停（二子新地・高津通過）
5:58,各停①,大井町,各停（二子新地・高津通過）
6:06,各停②,大井町,各停（二子新地・高津停車）
6:15,各停①,大井町,各停（二子新地・高津通過）
6:23,各停①,大井町,各停（二子新地・高津通過）
6:32,各停①,大井町,各停（二子新地・高津通過）
6:37,各停①,大井町,各停（二子新地・高津通過）
6:43,各停①,大井町,各停（二子新地・高津通過）
6:51,各停①,大井町,各停（二子新地・高津通過）
6:57,各停②,大井町,各停（二子新地・高津停車）
7:03,各停①,大井町,各停（二子新地・高津通過）
7:09,各停①,大井町,各停（二子新地・高津通過）
7:15,各停①,大井町,各停（二子新地・高津通過）
7:21,各停①,大井町,各停（二子新地・高津通過）
7:27,各停②,大井町,各停（二子新地・高津停車）
7:32,各停①,大井町,各停（二子新地・高津通過）
7:38,各停①,大井町,各停（二子新地・高津通過）
7:44,各停①,大井町,各停（二子新地・高津通過）
7:49,各停①,大井町,各停（二子新地・高津通過）
7:54,各停②,大井町,各停（二子新地・高津停車）
8:00,各停①,大井町,各停（二子新地・高津通過）
8:06,各停①,大井町,各停（二子新地・高津通過）
8:11,各停①,大井町,各停（二子新地・高津通過）
8:17,各停①,大井町,各停（二子新地・高津通過）
8:21,各停②,大井町,各停（二子新地・高津停車）
8:28,各停①,大井町,各停（二子新地・高津通過）
8:33,各停①,大井町,各停（二子新地・高津通過）
8:39,各停①,大井町,各停（二子新地・高津通過）
8:45,各停①,大井町,各停（二子新地・高津通過）
8:50,各停②,大井町,各停（二子新地・高津停車）
8:56,各停①,大井町,各停（二子新地・高津通過）
9:01,各停①,大井町,各停（二子新地・高津通過）
9:07,各停①,大井町,各停（二子新地・高津通過）
9:13,各停①,大井町,各停（二子新地・高津通過）
9:20,各停①,大井町,各停（二子新地・高津通過）
9:29,各停①,大井町,各停（二子新地・高津通過）
9:36,各停①,大井町,各停（二子新地・高津通過）
9:44,各停①,大井町,各停（二子新地・高津通過）
9:50,各停①,大井町,各停（二子新地・高津通過）
9:56,各停①,大井町,各停（二子新地・高津通過）
10:04,各停①,大井町,各停（二子新地・高津通過）
10:10,各停①,大井町,各停（二子新地・高津通過）
10:16,各停②,大井町,各停（二子新地・高津停車）
10:25,各停②,大井町,各停（二子新地・高津停車）
10:30,各停①,大井町,各停（二子新地・高津通過）
10:36,各停①,大井町,各停（二子新地・高津通過）
10:44,各停②,大井町,各停（二子新地・高津停車）
10:50,各停①,大井町,各停（二子新地・高津通過）
10:56,各停①,大井町,各停（二子新地・高津通過）
11:04,各停②,大井町,各停（二子新地・高津停車）
11:10,各停①,大井町,各停（二子新地・高津通過）
11:16,各停①,大井町,各停（二子新地・高津通過）
11:25,各停②,大井町,各停（二子新地・高津停車）
11:30,各停①,大井町,各停（二子新地・高津通過）
11:36,各停①,大井町,各停（二子新地・高津通過）
11:45,各停②,大井町,各停（二子新地・高津停車）
11:50,各停①,大井町,各停（二子新地・高津通過）
11:56,各停①,大井町,各停（二子新地・高津通過）
12:05,各停②,大井町,各停（二子新地・高津停車）
12:10,各停①,大井町,各停（二子新地・高津通過）
12:16,各停①,大井町,各停（二子新地・高津通過）
12:25,各停②,大井町,各停（二子新地・高津停車）
12:30,各停①,大井町,各停（二子新地・高津通過）
12:36,各停①,大井町,各停（二子新地・高津通過）
12:45,各停②,大井町,各停（二子新地・高津停車）
12:50,各停①,大井町,各停（二子新地・高津通過）
12:56,各停①,大井町,各停（二子新地・高津通過）
13:05,各停②,大井町,各停（二子新地・高津停車）
13:10,各停①,大井町,各停（二子新地・高津通過）
13:16,各停①,大井町,各停（二子新地・高津通過）
13:25,各停②,大井町,各停（二子新地・高津停車）
13:30,各停①,大井町,各停（二子新地・高津通過）
13:36,各停①,大井町,各停（二子新地・高津通過）
13:45,各停②,大井町,各停（二子新地・高津停車）
13:50,各停①,大井町,各停（二子新地・高津通過）
13:56,各停①,大井町,各停（二子新地・高津通過）
14:05,各停②,大井町,各停（二子新地・高津停車）
14:10,各停①,大井町,各停（二子新地・高津通過）
14:16,各停①,大井町,各停（二子新地・高津通過）
14:25,各停②,大井町,各停（二子新地・高津停車）
14:30,各停①,大井町,各停（二子新地・高津通過）
14:36,各停①,大井町,各停（二子新地・高津通過）
14:45,各停②,大井町,各停（二子新地・高津停車）
14:50,各停①,大井町,各停（二子新地・高津通過）
14:56,各停①,大井町,各停（二子新地・高津通過）
15:05,各停②,大井町,各停（二子新地・高津停車）
15:10,各停①,大井町,各停（二子新地・高津通過）
15:16,各停①,大井町,各停（二子新地・高津通過）
15:25,各停②,大井町,各停（二子新地・高津停車）
15:30,各停①,大井町,各停（二子新地・高津通過）
15:36,各停①,大井町,各停（二子新地・高津通過）
15:45,各停②,大井町,各停（二子新地・高津停車）
15:50,各停①,大井町,各停（二子新地・高津通過）
15:56,各停①,大井町,各停（二子新地・高津通過）
16:05,各停②,大井町,各停（二子新地・高津停車）
16:10,各停①,大井町,各停（二子新地・高津通過）
16:16,各停①,大井町,各停（二子新地・高津通過）
16:25,各停②,大井町,各停（二子新地・高津停車）
16:30,各停①,大井町,各停（二子新地・高津通過）
16:36,各停①,大井町,各停（二子新地・高津通過）
16:45,各停②,大井町,各停（二子新地・高津停車）
16:50,各停①,大井町,各停（二子新地・高津通過）
16:56,各停①,大井町,各停（二子新地・高津通過）
17:03,各停①,大井町,各停（二子新地・高津通過）
17:08,各停①,大井町,各停（二子新地・高津通過）
17:12,各停①,大井町,各停（二子新地・高津通過）
17:20,各停①,大井町,各停（二子新地・高津通過）
17:26,各停①,大井町,各停（二子新地・高津通過）
17:33,各停①,大井町,各停（二子新地・高津通過）
17:38,各停①,大井町,各停（二子新地・高津通過）
17:45,各停①,大井町,各停（二子新地・高津通過）
17:51,各停①,大井町,各停（二子新地・高津通過）
17:56,各停①,大井町,各停（二子新地・高津通過）
18:03,各停①,大井町,各停（二子新地・高津通過）
18:08,各停①,大井町,各停（二子新地・高津通過）
18:15,各停①,大井町,各停（二子新地・高津通過）
18:21,各停①,大井町,各停（二子新地・高津通過）
18:27,各停①,大井町,各停（二子新地・高津通過）
18:33,各停①,大井町,各停（二子新地・高津通過）
18:38,各停①,大井町,各停（二子新地・高津通過）
18:45,各停①,大井町,各停（二子新地・高津通過）
18:51,各停①,大井町,各停（二子新地・高津通過）
18:56,各停①,大井町,各停（二子新地・高津通過）
19:03,各停①,大井町,各停（二子新地・高津通過）
19:08,各停①,大井町,各停（二子新地・高津通過）
19:15,各停①,大井町,各停（二子新地・高津通過）
19:21,各停①,大井町,各停（二子新地・高津通過）
19:27,各停①,大井町,各停（二子新地・高津通過）
19:34,各停①,大井町,各停（二子新地・高津通過）
19:40,各停①,大井町,各停（二子新地・高津通過）
19:46,各停①,大井町,各停（二子新地・高津通過）
19:52,各停①,大井町,各停（二子新地・高津通過）
20:00,各停①,大井町,各停（二子新地・高津通過）
20:06,各停①,大井町,各停（二子新地・高津通過）
20:13,各停①,大井町,各停（二子新地・高津通過）
20:20,各停①,大井町,各停（二子新地・高津通過）
20:28,各停①,大井町,各停（二子新地・高津通過）
20:33,各停①,大井町,各停（二子新地・高津通過）
20:40,各停①,大井町,各停（二子新地・高津通過）
20:47,各停①,大井町,各停（二子新地・高津通過）
20:56,各停①,大井町,各停（二子新地・高津通過）
21:05,各停①,大井町,各停（二子新地・高津通過）
21:11,各停①,大井町,各停（二子新地・高津通過）
21:18,各停①,大井町,各停（二子新地・高津通過）
21:25,各停①,大井町,各停（二子新地・高津通過）
21:31,各停①,大井町,各停（二子新地・高津通過）
21:39,各停①,大井町,各停（二子新地・高津通過）
21:46,各停①,大井町,各停（二子新地・高津通過）
21:54,各停①,大井町,各停（二子新地・高津通過）
22:02,各停①,大井町,各停（二子新地・高津通過）
22:11,各停①,大井町,各停（二子新地・高津通過）
22:19,各停①,大井町,各停（二子新地・高津通過）
22:28,各停①,大井町,各停（二子新地・高津通過）
22:36,各停①,大井町,各停（二子新地・高津通過）
22:45,各停①,大井町,各停（二子新地・高津通過）
22:53,各停①,大井町,各停（二子新地・高津通過）
23:02,各停①,大井町,各停（二子新地・高津通過）
23:12,各停①,大井町,各停（二子新地・高津通過）
23:22,各停①,大井町,各停（二子新地・高津通過）
23:31,各停①,大井町,各停（二子新地・高津通過）
23:42,各停①,大井町,各停（二子新地・高津通過）
23:55,各停①,大井町,各停（二子新地・高津通過）
0:10,各停①,大井町,各停（二子新地・高津通過）
0:27,各停①,大井町,各停（二子新地・高津通過）
