時刻,種別,行先
05:15,各停,元町・中華街
05:30,各停,元町・中華街
05:35,急行,湘南台
05:43,各停,元町・中華街
05:55,各停,元町・中華街
06:05,各停,元町・中華街
06:11,各停,元町・中華街
06:20,各停,元町・中華街
06:27,各停,元町・中華街
06:30,急行,海老名
06:35,急行,元町・中華街
06:36,各停,元町・中華街
06:41,各停,元町・中華街
06:50,各停,元町・中華街
06:56,各停,元町・中華街
06:59,急行,海老名
07:05,各停,元町・中華街
07:10,急行,元町・中華街
07:11,各停,元町・中華街
07:17,急行,菊名
07:19,各停,元町・中華街
07:22,急行,元町・中華街
07:26,各停,元町・中華街
07:29,急行,湘南台
07:35,各停,元町・中華街
07:40,急行,元町・中華街
07:42,各停,元町・中華街
07:50,各停,元町・中華街
07:56,各停,元町・中華街
08:00,急行,湘南台
08:05,各停,元町・中華街
08:10,急行,元町・中華街
08:12,各停,元町・中華街
08:20,各停,元町・中華街
08:25,急行,元町・中華街
08:27,各停,元町・中華街
08:30,急行,湘南台
08:36,各停,元町・中華街
08:40,急行,元町・中華街
08:42,各停,元町・中華街
08:50,各停,元町・中華街
08:55,急行,元町・中華街
08:57,各停,元町・中華街
09:00,急行,西谷
09:06,各停,元町・中華街
09:11,急行,元町・中華街
09:13,各停,元町・中華街
09:21,各停,元町・中華街
09:26,急行,元町・中華街
09:28,各停,元町・中華街
09:31,急行,湘南台
09:37,各停,元町・中華街
09:42,急行,元町・中華街
09:44,各停,元町・中華街
09:51,各停,元町・中華街
09:56,急行,元町・中華街
09:57,各停,元町・中華街
10:01,急行,湘南台
10:07,各停,元町・中華街
10:11,急行,元町・中華街
10:12,各停,元町・中華街
10:20,各停,元町・中華街
10:24,急行,元町・中華街
10:26,各停,元町・中華街
10:31,急行,湘南台
10:37,各停,元町・中華街
10:41,急行,元町・中華街
10:43,各停,元町・中華街
10:51,各停,元町・中華街
10:56,急行,元町・中華街
10:58,各停,元町・中華街
11:01,急行,湘南台
11:07,各停,元町・中華街
11:11,急行,元町・中華街
11:13,各停,元町・中華街
11:21,各停,元町・中華街
11:25,急行,元町・中華街
11:28,各停,元町・中華街
11:31,急行,湘南台
11:36,各停,元町・中華街
11:41,急行,元町・中華街
11:43,各停,元町・中華街
11:51,各停,元町・中華街
11:55,急行,元町・中華街
11:58,各停,元町・中華街
12:01,急行,湘南台
12:06,各停,元町・中華街
12:11,急行,元町・中華街
12:13,各停,元町・中華街
12:21,各停,元町・中華街
12:25,急行,元町・中華街
12:28,各停,元町・中華街
12:31,急行,湘南台
12:36,各停,元町・中華街
12:41,急行,元町・中華街
12:43,各停,元町・中華街
12:51,各停,元町・中華街
12:55,急行,元町・中華街
12:58,各停,元町・中華街
13:01,急行,湘南台
13:06,各停,元町・中華街
13:11,急行,元町・中華街
13:13,各停,元町・中華街
13:21,各停,元町・中華街
13:25,急行,元町・中華街
13:28,各停,元町・中華街
13:31,急行,湘南台
13:36,各停,元町・中華街
13:41,急行,元町・中華街
13:43,各停,元町・中華街
13:51,各停,元町・中華街
13:55,急行,元町・中華街
13:58,各停,元町・中華街
14:01,急行,湘南台
14:06,各停,元町・中華街
14:11,急行,元町・中華街
14:13,各停,元町・中華街
14:21,各停,元町・中華街
14:25,急行,元町・中華街
14:28,各停,元町・中華街
14:31,急行,湘南台
14:36,各停,元町・中華街
14:41,急行,元町・中華街
14:43,各停,元町・中華街
14:51,各停,元町・中華街
14:55,急行,元町・中華街
14:58,各停,元町・中華街
15:01,急行,湘南台
15:06,各停,元町・中華街
15:11,急行,元町・中華街
15:13,各停,元町・中華街
15:21,各停,元町・中華街
15:25,急行,元町・中華街
15:28,各停,元町・中華街
15:31,急行,湘南台
15:36,各停,元町・中華街
15:41,急行,元町・中華街
15:43,各停,元町・中華街
15:51,各停,元町・中華街
15:55,急行,元町・中華街
15:58,各停,元町・中華街
16:01,急行,湘南台
16:06,各停,元町・中華街
16:11,急行,元町・中華街
16:13,各停,元町・中華街
16:21,各停,元町・中華街
16:25,急行,元町・中華街
16:28,各停,元町・中華街
16:31,急行,湘南台
16:36,各停,元町・中華街
16:41,急行,元町・中華街
16:43,各停,元町・中華街
16:51,各停,元町・中華街
16:56,急行,元町・中華街
16:58,各停,元町・中華街
17:00,急行,武蔵小杉
17:06,各停,元町・中華街
17:11,急行,元町・中華街
17:13,各停,元町・中華街
17:16,急行,湘南台
17:21,各停,元町・中華街
17:26,急行,元町・中華街
17:28,各停,元町・中華街
17:36,各停,元町・中華街
17:41,急行,元町・中華街
17:43,各停,元町・中華街
17:45,急行,湘南台
17:52,各停,元町・中華街
17:56,急行,元町・中華街
17:58,各停,元町・中華街
18:06,各停,元町・中華街
18:11,急行,元町・中華街
18:13,各停,元町・中華街
18:15,急行,湘南台
18:21,各停,元町・中華街
18:26,急行,元町・中華街
18:28,各停,元町・中華街
18:36,各停,元町・中華街
18:41,急行,元町・中華街
18:43,各停,元町・中華街
18:45,急行,海老名
18:52,各停,元町・中華街
18:56,急行,元町・中華街
18:58,各停,元町・中華街
19:05,各停,菊名
19:07,急行,湘南台
19:12,各停,元町・中華街
19:16,急行,元町・中華街
19:19,各停,元町・中華街
19:21,急行,武蔵小杉
19:26,急行,元町・中華街
19:27,各停,元町・中華街
19:30,急行,海老名
19:37,各停,元町・中華街
19:41,各停,元町・中華街
19:46,急行,元町・中華街
19:48,各停,菊名
19:50,各停,元町・中華街
19:56,急行,元町・中華街
19:58,各停,元町・中華街
20:00,急行,湘南台
20:06,各停,元町・中華街
20:12,各停,元町・中華街
20:16,急行,元町・中華街
20:20,各停,元町・中華街
20:23,急行,湘南台
20:27,急行,元町・中華街
20:29,各停,元町・中華街
20:36,各停,元町・中華街
20:42,各停,元町・中華街
20:46,急行,元町・中華街
20:48,各停,武蔵小杉
20:51,急行,湘南台
20:52,各停,元町・中華街
20:56,急行,元町・中華街
20:58,各停,元町・中華街
21:01,急行,武蔵小杉
21:07,各停,元町・中華街
21:11,各停,元町・中華街
21:17,急行,元町・中華街
21:18,各停,元町・中華街
21:26,急行,元町・中華街
21:28,各停,元町・中華街
21:31,急行,武蔵小杉
21:36,各停,菊名
21:39,急行,湘南台
21:42,各停,元町・中華街
21:46,急行,元町・中華街
21:50,各停,元町・中華街
21:57,各停,元町・中華街
22:00,急行,湘南台
22:06,各停,元町・中華街
22:13,各停,元町・中華街
22:21,急行,元町・中華街
22:23,各停,元町・中華街
22:27,各停,元町・中華街
22:36,各停,元町・中華街
22:40,急行,海老名
22:44,各停,元町・中華街
22:51,急行,元町・中華街
22:53,各停,元町・中華街
22:58,各停,元町・中華街
23:06,各停,元町・中華街
23:10,急行,湘南台
23:14,急行,元町・中華街
23:15,各停,元町・中華街
23:21,急行,武蔵小杉
23:23,各停,元町・中華街
23:29,各停,元町・中華街
23:39,各停,元町・中華街
23:45,急行,海老名
23:50,各停,元町・中華街
00:02,各停,元町・中華街
00:05,各停,菊名
00:08,急行,武蔵小杉
00:16,各停,横浜
00:19,急行,武蔵小杉
00:25,各停,菊名
00:38,各停,元住吉
