時刻,種別,行先
05:15,各停,元町・中華街
05:30,各停,元町・中華街
05:35,急行,海老名
05:43,各停,元町・中華街
05:57,各停,元町・中華街
06:02,急行,元町・中華街
06:09,各停,元町・中華街
06:14,急行,元町・中華街
06:18,各停,元町・中華街
06:26,各停,元町・中華街
06:32,各停,元町・中華街
06:37,急行,元町・中華街
06:40,各停,元町・中華街
06:46,各停,元町・中華街
06:50,急行,元町・中華街
06:54,各停,元町・中華街
07:01,各停,元町・中華街
07:06,急行,元町・中華街
07:09,各停,元町・中華街
07:15,急行,湘南台
07:17,各停,元町・中華街
07:21,急行,元町・中華街
07:23,各停,元町・中華街
07:26,各停,元町・中華街
07:30,急行,元町・中華街
07:32,各停,元町・中華街
07:35,各停,元町・中華街
07:39,急行,湘南台
07:41,各停,元町・中華街
07:45,急行,元町・中華街
07:46,各停,元町・中華街
07:48,各停,元町・中華街
07:56,各停,元町・中華街
08:00,急行,元町・中華街
08:01,各停,元町・中華街
08:04,急行,湘南台
08:06,各停,元町・中華街
08:11,各停,元町・中華街
08:13,各停,武蔵小杉
08:17,急行,元町・中華街
08:18,各停,元町・中華街
08:25,各停,元町・中華街
08:28,急行,湘南台
08:31,急行,元町・中華街
08:33,各停,元町・中華街
08:39,各停,元町・中華街
08:42,急行,西谷
08:47,各停,元町・中華街
08:49,各停,武蔵小杉
08:55,急行,元町・中華街
08:56,各停,元町・中華街
08:59,各停,元町・中華街
09:05,各停,元町・中華街
09:07,急行,大和
09:09,各停,武蔵小杉
09:15,各停,元町・中華街
09:18,急行,西谷
09:20,各停,元町・中華街
09:23,急行,元町・中華街
09:25,各停,武蔵小杉
09:27,各停,元町・中華街
09:30,急行,湘南台
09:36,各停,元町・中華街
09:41,急行,元町・中華街
09:43,各停,元町・中華街
09:45,急行,西谷
09:51,各停,元町・中華街
09:56,急行,元町・中華街
09:58,各停,元町・中華街
10:01,急行,武蔵小杉
10:07,各停,元町・中華街
10:13,各停,元町・中華街
10:14,各停,武蔵小杉
10:21,各停,元町・中華街
10:26,急行,元町・中華街
10:28,各停,元町・中華街
10:30,急行,西谷
10:32,各停,元町・中華街
10:37,各停,武蔵小杉
10:41,急行,元町・中華街
10:43,各停,元町・中華街
10:47,急行,湘南台
10:51,各停,元町・中華街
10:56,急行,元町・中華街
10:58,各停,元町・中華街
11:06,各停,元町・中華街
11:11,急行,元町・中華街
11:13,各停,元町・中華街
11:21,各停,元町・中華街
11:25,急行,湘南台
11:28,各停,元町・中華街
11:30,急行,武蔵小杉
11:36,各停,元町・中華街
11:41,急行,元町・中華街
11:43,各停,元町・中華街
11:51,各停,元町・中華街
11:55,急行,元町・中華街
11:58,各停,元町・中華街
12:01,急行,湘南台
12:06,各停,元町・中華街
12:11,急行,元町・中華街
12:13,各停,元町・中華街
12:21,各停,元町・中華街
12:25,急行,元町・中華街
12:28,各停,元町・中華街
12:31,急行,湘南台
12:36,各停,元町・中華街
12:41,急行,元町・中華街
12:43,各停,元町・中華街
12:51,各停,元町・中華街
12:55,急行,元町・中華街
12:58,各停,元町・中華街
13:01,急行,湘南台
13:06,各停,元町・中華街
13:11,急行,元町・中華街
13:13,各停,元町・中華街
13:21,各停,元町・中華街
13:25,急行,元町・中華街
13:28,各停,元町・中華街
13:31,急行,湘南台
13:36,各停,元町・中華街
13:41,急行,元町・中華街
13:43,各停,元町・中華街
13:51,各停,元町・中華街
13:55,急行,元町・中華街
13:58,各停,元町・中華街
14:01,急行,湘南台
14:06,各停,元町・中華街
14:11,急行,元町・中華街
14:13,各停,元町・中華街
14:21,各停,元町・中華街
14:25,急行,元町・中華街
14:28,各停,元町・中華街
14:31,急行,湘南台
14:36,各停,元町・中華街
14:41,急行,元町・中華街
14:43,各停,元町・中華街
14:51,各停,元町・中華街
14:55,急行,元町・中華街
14:58,各停,元町・中華街
15:01,急行,湘南台
15:06,各停,元町・中華街
15:11,急行,元町・中華街
15:13,各停,元町・中華街
15:21,各停,元町・中華街
15:25,急行,元町・中華街
15:28,各停,元町・中華街
15:31,急行,湘南台
15:36,各停,元町・中華街
15:41,急行,元町・中華街
15:43,各停,元町・中華街
15:51,各停,元町・中華街
15:55,急行,元町・中華街
15:58,各停,元町・中華街
16:01,急行,湘南台
16:06,各停,元町・中華街
16:11,急行,元町・中華街
16:13,各停,元町・中華街
16:17,急行,元町・中華街
16:18,各停,元町・中華街
16:21,急行,湘南台
16:27,各停,元町・中華街
16:31,急行,元町・中華街
16:33,各停,元町・中華街
16:41,各停,元町・中華街
16:46,急行,元町・中華街
16:48,各停,元町・中華街
16:57,各停,元町・中華街
17:02,急行,元町・中華街
17:04,各停,元町・中華街
17:08,急行,湘南台
17:13,各停,元町・中華街
17:17,急行,元町・中華街
17:20,急行,西谷
17:22,各停,元町・中華街
17:28,各停,元町・中華街
17:33,急行,元町・中華街
17:35,各停,元町・中華街
17:38,急行,湘南台
17:43,各停,元町・中華街
17:48,急行,元町・中華街
17:50,各停,元町・中華街
17:53,急行,湘南台
17:58,各停,元町・中華街
18:03,急行,元町・中華街
18:05,各停,元町・中華街
18:08,急行,湘南台
18:13,各停,元町・中華街
18:18,急行,元町・中華街
18:20,各停,元町・中華街
18:22,各停,武蔵小杉
18:28,各停,元町・中華街
18:33,急行,元町・中華街
18:35,各停,元町・中華街
18:38,急行,湘南台
18:43,各停,元町・中華街
18:47,急行,元町・中華街
18:49,各停,菊名
18:50,各停,元町・中華街
18:53,急行,湘南台
18:59,各停,元町・中華街
19:03,急行,元町・中華街
19:05,各停,元町・中華街
19:08,急行,湘南台
19:13,各停,元町・中華街
19:18,急行,元町・中華街
19:20,各停,元町・中華街
19:23,急行,湘南台
19:28,各停,元町・中華街
19:33,急行,元町・中華街
19:35,各停,元町・中華街
19:38,急行,湘南台
19:43,各停,元町・中華街
19:48,急行,元町・中華街
19:50,各停,元町・中華街
19:53,急行,湘南台
19:58,各停,元町・中華街
20:03,急行,元町・中華街
20:05,各停,元町・中華街
20:08,急行,湘南台
20:13,各停,元町・中華街
20:18,急行,元町・中華街
20:20,各停,元町・中華街
20:23,急行,湘南台
20:28,各停,元町・中華街
20:33,急行,元町・中華街
20:35,各停,元町・中華街
20:37,各停,武蔵小杉
20:43,各停,元町・中華街
20:48,急行,元町・中華街
20:50,各停,元町・中華街
20:52,各停,武蔵小杉
20:58,各停,元町・中華街
21:03,急行,元町・中華街
21:05,各停,元町・中華街
21:08,急行,湘南台
21:13,各停,元町・中華街
21:18,急行,元町・中華街
21:20,各停,元町・中華街
21:22,急行,武蔵小杉
21:28,各停,元町・中華街
21:33,急行,元町・中華街
21:35,各停,元町・中華街
21:38,急行,湘南台
21:43,各停,元町・中華街
21:48,急行,元町・中華街
21:50,各停,元町・中華街
21:52,各停,武蔵小杉
21:58,各停,菊名
22:02,急行,武蔵小杉
22:04,各停,元町・中華街
22:07,急行,湘南台
22:13,各停,元町・中華街
22:17,急行,元町・中華街
22:20,各停,元町・中華街
22:28,各停,元町・中華街
22:33,急行,元町・中華街
22:35,各停,元町・中華街
22:42,各停,元町・中華街
22:48,急行,元町・中華街
22:49,各停,元町・中華街
22:52,急行,湘南台
22:58,各停,元町・中華街
23:02,急行,武蔵小杉
23:04,各停,元町・中華街
23:08,急行,湘南台
23:13,各停,元町・中華街
23:18,急行,海老名
23:19,各停,元町・中華街
23:22,急行,武蔵小杉
23:28,各停,元町・中華街
23:33,急行,湘南台
23:36,各停,元町・中華街
23:40,各停,武蔵小杉
23:47,急行,新横浜
23:49,各停,元町・中華街
23:54,急行,武蔵小杉
23:56,各停,菊名
00:02,各停,元町・中華街
00:05,急行,海老名
00:10,各停,武蔵小杉
00:16,各停,横浜
00:20,急行,武蔵小杉
00:25,各停,菊名
00:38,各停,元住吉
